사례 일련번호,순번,내용(비고),시공전 사진,시공후 사진
1,1,안방 시공 전 후 비교 사진,/upload/web/repair_case/201802101945556e83e29f-c1c8-4b3a-a0c2-297621844849.png,/upload/web/repair_case/20180718111809d51801d6-24e5-4e09-9665-104322ab4849.jpg
2,1,외벽 시공 전 후 비교 사진,/upload/web/repair_case/201802101947210f7caeaa-2aca-4451-a6fb-da0a7be3d85c.png,/upload/web/repair_case/2018071811172161b20e10-b736-4604-ad59-dd6982b64d22.jpg
2,2,지붕 시공 전 후 비교 사진,/upload/web/repair_case/2018021019472109530122-084f-4a98-9ecd-7a3f08d5f4b1.png,/upload/web/repair_case/20180210194721053abd03-56ed-4adc-954e-eec9390078e6.png
3,1,마을 풍경,/upload/web/repair_case/201802101950096038b11e-ded0-49c5-8d81-306eb55a01ac.png,/upload/web/repair_case/20180718111536a33fba36-551c-4fef-a268-6203a8bdeb7d.jpg
3,2,주택 개량 사례,/upload/web/repair_case/20180210195009ecf925b8-12ed-4460-9594-ecd8eadaed2c.png,/upload/web/repair_case/2018021019500938d174f2-279a-4a46-97ba-2482a59b9d2c.png
3,3,지붕 보수 사례,/upload/web/repair_case/201802101950099c6913bf-8d70-4d59-9c43-1248ce993bf7.png,/upload/web/repair_case/201802101950096ef05997-eefe-4573-a961-ba21b168cc17.png
3,4,주택 개량 사례,/upload/web/repair_case/2018021019500991a416d6-15dd-4ee9-a4b7-bccc15ab1691.png,/upload/web/repair_case/201802101950095d5f6586-c164-40af-81f2-4cd531eb17e3.png
3,5,지붕 보수 사례,/upload/web/repair_case/201802101950090bdd4b5c-9967-453c-9fd1-789a6c9052b1.png,/upload/web/repair_case/20180210195009546d2c81-ddee-4521-ac63-9f0ee29070a3.png
3,6,지붕 및 외벽 보수 사례,/upload/web/repair_case/20180210195009242baecf-7bd5-4a39-ba0e-635883d23e70.png,/upload/web/repair_case/2018021019500913916753-f97a-4c62-9259-09b6836436d1.png
323,1,반지하 화장실,/upload/web/repair_case/2021072715123802aabd6c-a231-45c4-ba50-ed68e723c1af.jpg,/upload/web/repair_case/20210727151238a6139347-06ba-4a22-bd8d-d3b46118b676.jpg
323,2,반지하 단열/강마루/시스템에어컨,/upload/web/repair_case/20210727151238067045ba-2820-4d20-a117-042b4f62f4ad.jpg,/upload/web/repair_case/202107271512389b48458a-1fb6-4b91-bef3-c5213cd4e300.jpg
323,3,반지하-창호/베란다/터닝도어,/upload/web/repair_case/202107271516506c490b01-dcfb-40f6-aa1d-e5d2c7e7020f.jpg,/upload/web/repair_case/202107271516507b4ea3af-ad3c-421f-8eec-0130d5a841ca.jpg
323,4,반지하 곰팡이 바닥/벽,/upload/web/repair_case/202107271516500514692b-81cc-4b36-9d35-221370200410.jpg,/upload/web/repair_case/20210727151650b5ecb7ff-efc4-4179-87d9-179d5deef768.jpg
323,5,반지하 주방,/upload/web/repair_case/2021072715165055b426d6-6340-45f9-a529-3e5ebd2b51c5.jpg,/upload/web/repair_case/2021072715165050b7d459-fd5b-4513-ad3e-e854258b171d.jpg
323,6,1층-단열/창호/강마루/시스템에어컨,/upload/web/repair_case/202107271516506d9017f3-ade5-43fe-9cc0-1c3a2705831e.jpg,/upload/web/repair_case/20210727151650986f0770-b353-4145-b2a4-c3dc28fac1cc.jpg
323,7,1층- 화장실 방수/편백나무시공,/upload/web/repair_case/20210727151650ddc45242-e301-4403-8791-ba04bd3739bd.jpg,/upload/web/repair_case/2021072715165099d3971a-b390-4f0c-b1fc-5755ba606db7.jpg
323,8,1층-베란다 탄성코트/방수/창호,/upload/web/repair_case/202107271521459e023217-59cb-4e04-8c8e-eb2f638b9df9.jpg,/upload/web/repair_case/20210727152145872aa729-2130-4820-9010-25714d9e278f.jpg
323,9,1층 -주방,/upload/web/repair_case/202107271521456f46a399-27b6-4361-a510-4fd970e73d0c.jpg,/upload/web/repair_case/20210727152145fe43a9e7-4392-4b43-8bf5-e5674f1a47d7.jpg
323,10,외부 단열도어/조명설치/페인트,/upload/web/repair_case/202107271521453f8e95d4-9d80-40e3-8e30-c6b964d71a66.jpg,/upload/web/repair_case/202108131145388c4a732d-86de-4101-a4ae-19bc7f5b1980.jpg
323,11,담장,/upload/web/repair_case/20210727152145a4628889-2477-4bed-ad7c-312475e1d7b6.jpg,/upload/web/repair_case/202107271521458ffa47f9-191b-4b78-a962-9f6bb97579de.jpg
341,1,주방 공사 전 후,/upload/web/repair_case/20210820234606d8b66267-d346-4178-949a-170b00802833.jpg,/upload/web/repair_case/20210820234606ae052711-da6d-401b-a790-887921b04c71.jpg
341,2,현관 입구 전 후,/upload/web/repair_case/20210820234606647fa0cc-b81a-4b4e-9f7d-df2ecf4010ee.jpg,/upload/web/repair_case/202108202346062053146a-900a-47e8-8b69-fa5ff4e1ae77.jpg
341,3,화장실 공사 전 후,/upload/web/repair_case/202108202346062517f5ed-994e-43d9-814d-c5ac79aa8702.jpg,/upload/web/repair_case/202108202346069f248bc9-0bee-4740-bfac-315d19ea2b22.jpg
341,4,전체 전 후,/upload/web/repair_case/20210820234606eb867cb3-bc45-4973-8894-2c8c2d07364d.jpg,/upload/web/repair_case/20210820234606f87dd37a-8f0b-49d6-abbd-35827cdebbdd.jpg
561,1,손잡이를 돌려도 걸쇠가 돌어가지 않았습니다.,/upload/web/repairCase/2024/202412/20241215235923020f4e1b-6ec2-4f72-bb57-0e41871c88bb.jpg,/upload/web/repairCase/2024/202412/20241215235816e40712ee-8394-41ec-b806-e83a019b0684.jpg
561,2,"벽에 붙이는 캐치는 기존 것과 딱 맞지는 않았지만, 만족합니다.",/upload/web/repairCase/2024/202412/20241215235924d18cb374-add5-46df-b56d-b267df5e4b63.jpg,/upload/web/repairCase/2024/202412/20241215235816563cddc3-5629-4e0d-ab3b-66efcc583ace.jpg
581,1,"높이 달려있고, 손잡이가 불편한 오래된 샷시 손잡이를, 제 키에 맞게 새롭게 교체",/upload/web/repairCase/2024/202412/20241219164702ea04d507-6504-4e33-8dd7-06425a7dc8a2.jpg,/upload/web/repairCase/2024/202412/2024121916470375c1e433-b015-4f66-89d6-449457bab6c0.jpg
621,1,기존 3구 스위치에서 2구 스위치로 변경,/upload/web/repairCase/2024/202412/2024122200585507e634d5-6149-481d-a9de-373e3fd965ff.jpg,/upload/web/repairCase/2024/202412/202412220057006aca2459-01a7-4bef-a29c-eeab3b8264dc.jpg
621,2,기존 형광등에서 LED 엣지등으로 교체,/upload/web/repairCase/2024/202412/202412220057006c4f903c-6c83-4e12-909c-6c55e33f6a1d.jpg,/upload/web/repairCase/2024/202412/202412220057008b43ccbb-f776-40b8-bf83-a363d23811dc.jpg
646,1,문 손잡이 설치,/upload/web/repairCase/2025/202504/2025040916492746b48dcb-7d56-4e7c-ba4a-0512542ae9d6.jpg,/upload/web/repairCase/2025/202504/202504091649276b7c7adb-39fd-4f08-afb7-a84c5fcac835.jpg
621,4,기존 5구 스위치에서 4구 스위치로 변경,/upload/web/repairCase/2024/202412/20241222005855eb2a594e-d291-4056-95c0-a516424491e3.jpg,/upload/web/repairCase/2024/202412/20241222005855c93f034f-8688-43f7-a8b9-86c82502e646.jpg
643,1,사진첨부,/upload/web/repairCase/2025/202504/20250404230647c2f3f800-270c-4ff0-9754-3b840d521560.jpg,/upload/web/repairCase/2025/202504/20250404230647ca59ea38-9711-400b-892a-901daf6e3971.jpg
601,1,오래되어 녹슬고 누수있는 수전 일체를 새것으로 교체,/upload/web/repairCase/2024/202412/20241221093212b2107be8-1bd0-4edd-8dd0-f735d39c1fde.jpg,/upload/web/repairCase/2024/202412/202412241716184ccb584c-8304-433e-89ab-9a28f44f73ab.jpg
421,1,주방,/upload/web/repair_case/20220407153606a589e329-8573-40ea-83e4-c0fb0a1153c4.jpg,/upload/web/repair_case/2022040715360676cc9440-d9a3-4fc8-8671-c7463237e353.jpg
421,2,곰팡이,/upload/web/repair_case/202204071536068fa8f0e3-987a-44f3-b574-a9e71b9736a9.jpg,/upload/web/repair_case/202204071536068c06e0ef-e2bc-4054-9342-c60241d019c9.jpg
421,3,거실/주방,/upload/web/repair_case/202204071536065ba806d4-0c28-4b6a-b7d5-0d1e738a4ae8.jpg,/upload/web/repair_case/20220407153606ebeed9da-1b30-44c6-a7b8-61de9a24da6c.jpg
421,4,방,/upload/web/repair_case/2022040715360615bedf90-1083-40bc-bd91-de8dc10481e9.jpg,/upload/web/repair_case/20220407153606f2447474-9f43-4559-ba78-09b7617c7c72.jpg
421,5,거실,/upload/web/repair_case/202204071536063eb55bc5-d11c-4360-863d-8e7c8358825a.jpg,/upload/web/repair_case/2022040715360678890370-1f25-4390-9a15-1642e53d89fb.jpg
421,6,전체,/upload/web/repair_case/20220407153606008444e6-301d-47d7-9c4d-25b0adcdf9c2.jpg,/upload/web/repair_case/202204071536068f1a5bba-df57-4bd1-8b63-0dbb3388817b.jpg
421,7,화장실,/upload/web/repair_case/20220407153606c38ad611-a576-4930-8821-8af728ed607c.jpg,/upload/web/repair_case/20220407153606c06daee7-c8b1-40f1-8d3f-fd9cfee60ac3.jpg
421,8,신발장,/upload/web/repair_case/202204071536060e9ae8c1-6cec-4ad4-b363-4e66caad3d13.jpg,/upload/web/repair_case/20220407153606a6c41cd2-ba06-4f0b-a44b-85925f76d820.jpg
601,2,수동팝업을- 청소가쉬운 자동팝업으로 교체,/upload/web/repairCase/2024/202412/2024122109321279b75d61-09a3-4b27-80e1-e5a425a4c43c.jpg,/upload/web/repairCase/2024/202412/202412210932138c54595f-b878-40f0-84c5-9769915f603c.jpg
301,1,화장실,/upload/web/repair_case/202103091255509f706d98-6855-47a9-a5fa-fb560cfe9db4.jpeg,/upload/web/repair_case/202103091255500d4fad83-d210-4d90-ad64-e5ee5bf51d9a.jpeg
301,2,현관신발장및 바닥타일,/upload/web/repair_case/20210309125550c2f30c0a-dfde-44b0-b95b-841244f0643a.jpeg,/upload/web/repair_case/202103091255509c9e7e65-d217-4512-83bd-3b7e8a459cba.jpeg
301,3,주방확장및드럼세탁기,/upload/web/repair_case/20210309125550e261c5da-09f4-4475-9480-5f034e67727c.jpeg,/upload/web/repair_case/2021030912555039d739c3-a7ab-47cc-ac35-1c1e7d839c57.jpeg
301,4,작은방&amp;씽크,/upload/web/repair_case/2021030912555007b6bc53-5131-4394-92fa-22a79431a36a.jpeg,/upload/web/repair_case/202103091255505326ca37-a20e-4310-b91c-eee8bfc79c1a.jpeg
301,5,안방,/upload/web/repair_case/20210309125550d173b902-e793-42d2-9c59-47ba25454d88.jpeg,/upload/web/repair_case/202103091255508c0dec1e-7351-4f53-b98b-6cc4a610eda9.jpg
481,1,옥상청소,/upload/web/repair_case/20221004174108ab3dd91e-28bd-4bcd-8d57-678c08bedbc4.jpg,/upload/web/repair_case/20221004174108bb36deda-0334-4883-928e-2df246c3bede.jpg
481,2,기초작업,/upload/web/repair_case/20221004174108961d6b41-dd11-4fd3-88c9-353d074632f4.jpg,/upload/web/repair_case/2022100417410870cc3e08-5dc4-4434-a7b6-031316860c47.jpg
481,3,하도 및 중도 1차,/upload/web/repair_case/20221004174108330f3294-0d0a-4df8-b35f-cc7dae76d06f.jpg,/upload/web/repair_case/20221004174108904ff9ad-2e93-41ab-8e3f-90d450276e32.jpg
481,4,중도 2차 및 상도,/upload/web/repair_case/2022100417410851aebdd7-bd57-4cc9-81dd-2a9391874873.jpg,/upload/web/repair_case/20221004174108e2304215-6c5e-4ad4-a88a-d33ad11c4a93.jpg
541,1,화장실 수납장 시트지 교제-사진 찍는거를 잊어버려서  한쪽 완성 후 찍었어요,/upload/web/repairCase/2024/202412/20241213170007fe8c1f3a-504a-4745-b8fc-5db689da32aa.jpg,/upload/web/repairCase/2024/202412/202412131700082fc7eae2-f0e7-48ab-9690-c691606bf463.jpg
541,2,식탁 시트지 교체,/upload/web/repairCase/2024/202412/202412131700074e5e5b2b-88ca-47e3-8e0c-9dc97ee18dca.jpg,/upload/web/repairCase/2024/202412/20241213170008001c2f85-070c-4507-a8c7-261d0d4749ab.jpg
563,1,방문 교체,/upload/web/repairCase/2024/202412/20241217094107ec48b88b-2b17-4e51-b418-bd8fcdd686e2.jpg,/upload/web/repairCase/2024/202412/20241217094107d7bf0b38-9276-40c9-9550-3b47cf09243d.jpg
642,1,"이론수업과, 조별로 배당된 각종 공구",/upload/web/repairCase/2025/202504/20250402172856e28fec1f-9fab-4a21-b73a-83cac421ad6e.jpg,/upload/web/repairCase/2025/202504/2025040217285795af6749-96e9-4ab9-b09b-fa6f040b9fb4.jpg
642,2,수리를 효율적으로 할 수 있는 공구와 실습도구,/upload/web/repairCase/2025/202504/202504021728578c30a40d-d8b8-4019-b314-923e2156fc05.jpg,/upload/web/repairCase/2025/202504/202504021728571cccbc4f-57bc-4e8c-bcf9-51dad5e3bd13.jpg
645,1,없음,/upload/web/repairCase/2025/202504/20250408095549982cc6f6-9d08-494b-be52-c89a8f070fff.jpg,/upload/web/repairCase/2025/202504/20250408095550cb640360-deac-4b63-aee5-f48a9ad4f36e.jpg
501,1,미니 싱크장  설치  전 후,/upload/web/repair_case/2023052012200928df0c26-b0a3-4983-bc50-83220d2c81e7.jpeg,/upload/web/repair_case/202305201220091249773b-915d-438f-9307-bd66dd3e9017.jpeg
401,1,신발장 현관 바닥 칸스톤 시공마감 (칼라명: 무카),/upload/web/repair_case/202201160711265298f0bb-0520-408f-b451-64a541e48a44.PNG,/upload/web/repair_case/20220116071126ad48c627-8f43-40f7-a4fe-b05fedec910e.PNG
401,2,"주방상판,벽체,아일랜드 칸스톤 시공마감 (칼라명: 스트라토)",/upload/web/repair_case/20220116071126b24b0134-dc95-43c8-ba9d-37a52dfb76d3.PNG,/upload/web/repair_case/2022011607112698e67df1-8c83-4945-a947-b37b4b60ec1a.PNG
401,3,거실 벽체 칸스톤 시공마감 (칼라명: 스트라토),/upload/web/repair_case/202201160711263aeed63d-9d7a-4a1d-b338-2b6d39779506.PNG,/upload/web/repair_case/20220116071126c27f4d9f-e800-4526-9c36-26711d9fe0c6.PNG
521,1,타일 2장이 들떠서 깨졌는 데 그 부분만 붙였답니다.,/upload/web/repairCase/2024/202408/20240823164847f6e42804-dac5-4af2-b266-b2723a18d22b.jpg,/upload/web/repairCase/2024/202408/20240823164904c156b223-fa34-41fa-a52e-57a566de99f3.jpg
521,2,수압조절 밸브가 고장나서 편심까지 싹 교체했습니다. 벽 배관 파손될까봐 무서웠네요.,/upload/web/repairCase/2024/202408/20240823164847c1e5d83f-a44b-4414-b20f-694c73df6943.jpg,/upload/web/repairCase/2024/202408/20240823164847586d8193-b412-4eb5-9d40-1d4ea4ca25ea.jpg
562,1,원홀 세면대 수전 교체,/upload/web/repairCase/2024/202412/2024121702064064526aa2-814e-49cc-be1f-7e92db045ae5.jpeg,/upload/web/repairCase/2024/202412/202412170206410b17340c-d29c-47b0-bb13-158f0e92e632.jpeg
564,1,배수구 배관 파손,/upload/web/repairCase/2024/202412/202412171403540f8af4f1-df9f-48bb-913e-ce2fd46b5cea.jpg,/upload/web/repairCase/2024/202412/202412171403550015a7d9-38d2-4d78-992a-2a7d909d3596.jpg
644,1,센서등,/upload/web/repairCase/2025/202504/20250407023711e0a225f2-3e7e-4a43-a58c-8d44faf274d8.jpg,/upload/web/repairCase/2025/202504/20250407023712d847b814-c1c7-4fb2-bafc-ff923224cced.jpg
